,$v3,$v1,$v4,$r1
215,38,700,449.8,-9999
216,58,1900,272.2,0.058
217,52,700,517.3,200
218,58,600,176.2,-9999
219,42,1600,289.8,231.88
220,58,1200,555.9,0.4758
221,42,700,553.8,-9999
222,56,1800,446.1,-9999
223,36,700,578.9,-9999
224,58,500,280.5,10.395
225,54,2000,519,-9999
226,42,1100,400.8,0.275
227,54,900,422.3,-9999
228,56,1400,495.8,1406.33
229,24,800,449.3,-9999
230,50,1300,157.6,1307.9314
231,42,1000,581.1,1
232,32,1400,509.8,-9999
233,60,1100,201.4,-9999
234,42,1200,444.8,0.725
235,56,1400,300.2,-9999
236,26,700,324.6,-9999
237,26,1600,349.4,-9999
238,34,900,447,0.3131
239,30,1200,459.4,1.95908
240,54,600,149.1,18.4
241,40,1400,209.5,8
242,56,1400,153.2,-9999
243,46,1000,141.1,-9999
244,58,1900,585.3,-9999
245,46,1200,390.1,0.531
246,38,900,590.5,-9999
247,42,1100,366.5,3713.09
248,54,1500,560.9,-9999
249,28,1000,411.8,0.4747
250,34,600,331.9,-9999
251,60,500,335.8,0.0046
252,42,1400,512.1,1.9
253,56,800,538.6,-9999
254,50,1400,400.3,6.25
255,60,900,392.1,18.36
256,44,1900,248,-9999
257,40,1600,484.4,-9999
258,24,1100,425.4,-9999
259,40,1900,216.2,-9999
260,32,1400,230.1,0.8
261,26,1800,324,395.1
262,50,1000,392.6,-9999
263,34,1200,507.1,2.279
264,42,1300,212.3,33
265,40,1000,373.5,0.466
266,58,1500,266.7,0
267,40,1700,365.7,-9999
268,36,600,481,1271.46
269,28,900,143.8,0.297
270,42,1200,365.3,0.5963
271,54,700,311.2,-9999
272,48,1500,252.1,0
