,$v1,$v2,$r1
234,142.7,1.15,8.059
235,83.8,1.34,93.74
236,60.5,1.58,96.31
237,72.8,0.58,7967
238,75,1.47,5.1
239,111.2,1.63,93.17
240,87.9,0.69,87.2
241,116.7,1.08,89.19
242,148.5,0.96,87
243,118.2,1.35,91.94
244,52.7,1.32,96.16
245,82.4,0.68,-9999
246,137.6,1.67,92.4
247,133.3,1.03,88.5
248,114.7,0.82,86
249,59.1,1.37,95.6861
250,88.1,1.58,94.42
251,94,1.96,0.96
252,148.1,1.23,89.2
253,67.3,0.64,95
254,122,1.57,93
255,87.5,1.56,-9999
256,71.3,0.76,90.62
257,87.5,1.62,-9999
258,147.2,0.78,84.12
259,127.9,2,-9999
260,126.7,1.6,7.91875
261,52.7,1.71,6.099
262,114.5,0.72,84.1
263,108.5,0.66,83.560606060606
264,134.2,0.92,85.4
265,75.5,1.36,94.44
266,77.6,1.37,0.946
267,91.7,0.66,86.106
268,84.5,0.62,98.63
269,101.1,1.53,6.2
